Rule,Applies To,Reference,,Priority,Severity,Comment
"All terms used in CC DENs shall be in the English language following the latest version of the Oxford English Dictionary. Where conflicting spellings exist, the spelling listed as the primary British spelling shall be used.",DENs and Definitions,"[C3], [C17], [B4], [B22], [D3], [D15]",X001,,W,Manual
A DEN shall be unique amongst all DENs within the library or package of which it is a part.,DENs,"[C4], [B5], [D4]",S002,,E,
A DEN shall be extracted from the object's definition.,DENs,"[C5], [B6], [D5]",S003,,W,
A DEN shall not include consecutive identical words or terms.,DENs,"[C6], [B7], [D6]",S004,,W,
A DEN and all its components shall be in singular form unless the concept itself is plural.,DENs,"[C7], [B8], [D7]",X005,,W,Manual
A DEN shall only use alphabetic characters plus the dot and space characters.,DENs,"[C8], [B9], [D8]",S006,,E,
"A DEN shall only contain verbs, nouns, adverbs and adjectives unless a different part of speech is part of an official title, part of a term listed in the Oxford English Dictionary, or part of a controlled vocabulary.",DENs,"[C9], [B10], [D9]",X007,,W,Manual
Abbreviations and acronyms that are part of the DEN shall be expanded or explained in the definition and should be added to a controlled vocabulary if it exists.,DENs,"[C10], [B11], [D10]",X008,,W,Manual
"DEN object class terms, property terms, and representation terms shall be separated by a dot and a space character.",CC and BIE DENs,"[C11], [B12]",S009,,E,
"The space character shall separate words in multi-worded object class, property, and representation terms.",DENs,"[C12], [B13], [D11]",X00A,,E,Manual
Each word in a DEN shall start with a capital letter.,DENs,"[C13], [B14], [D12]",S00B,,E,
The dots after object class and property terms shall be followed by a space character.,CC and BIE DENs,"[C14], [B15]",S00C,,E,
Each DEN shall remain unique when its separators are removed.,DENs,"[C15], [B16]",S00D,,E,
Each object shall have its own unique semantic definition within the library of which it is a part.,"CCs, BIEs, and DTs","[C16], [B20], [D14]",S00E,,E,
"All definitions shall be consistent with the requirements of ISO 11179-4 and provide an understandable meaning, which should also be translatable to other languages.",Definitions,"[C18], [B23], [D16]",X00F,,W,Manual
"The item definition shall take into account the fact that the users of the library are not necessarily native English speakers. It shall therefore contain short sentences, using common terms. Wherever alternative terms exist for a word in the definition, the definition shall use the preferred term as identified in the Oxford English Dictionary or a controlled vocabulary if one exists.",Definitions,"[C19], [B24], [D17]",S010,,W,
A CC Object Class Term shall be unique amongst all Object Class Terms within the library of which it is a part.,ACCs,[C21],S011,,E,
Multi-worded object class terms shall have a unique meaning separate from the individual words used independently or in any other combination.,ACCs and ABIEs,[C22],X012,,W,Manual
"ACC usage rules shall not replicate BCC, ASCC, or CDT usage rules.",ACCs,[C24],X013,,E,Could be done in Schematron (Kevin)
All usage rules shall have identifiers that are unique amongst all usage rules for the library of which they are a part.,Usage Rules,"[C25], [C61], [C112], [B37], [B77], [B140], [D27], [D60], [D113], [D138], [D192], [D217], [D251], [D312], [D337], [D399]",X014,,E,Could be done in Schematron (Kevin)
An unstructured usage rule constraint shall have a free form text expression that fully details the usage rule.,Unstructured Usage Rules,"[C26], [C62], [C113], [B38], [B78], [B141], [D28], [D61], [D114], [D139], [D193], [D218], [D252], [D313], [D338], [D400]",X015,,W,Manual
A structured usage rule constraint shall have a formal constraint language expression.,Structured Usage Rules,"[C27], [C63], [C114], [B39], [B79], [B142], [D29], [D62], [D115], [D140], [D194], [D219], [D253], [D314], [D339], [D401]",X016,,W,Manual
Every usage rule shall have a constraint type taken from a constraint type code list.,Usage Rules,"[C28], [C64], [C115], [B40], [B80], [B143], [D30], [D63], [D116], [D141], [D195], [D220], [D254], [D315], [D340], [D402]",X017,,E,Could be done in Schematron (Kevin)
Every usage rule shall have a condition type.,Usage Rules,"[C29], [C65], [C116], [B41], [B81], [B144], [D31], [D64], [D117], [D142], [D196], [D221], [D255], [D316], [D341], [D403]",X018,,E,Could be done in Schematron (Kevin)
"Every usage rule condition type shall be one of pre-condition, postcondition, or invariant.",Usage Rules,"[C30], [C66], [C117], [B42], [B82], [B145], [D32], [D65], [D118], [D143], [D197], [D222], [D256], [D317], [D342], [D404]",X019,,E,Could be done in Schematron (Kevin)
A usage rule for an object shall have zero or one names that are unique within the group of usage rules of that given object or its aggregate.,Usage Rules,"[C32], [C68], [C119], [B44], [B84], [B147], [D34], [D67], [D120], [D145], [D199], [D224], [D319], [D406]",X020,,E,Could be done in Schematron (Kevin)
"Each occurrence of a localized metadata class shall contain:
• Language Code (mandatory): A code which identifies the language being used. Internet Engineering Task Force RFC 3066 of January 2001 shall be used as the authoritative source for code values.
• Name (optional): The name of the usage rule in a language other than English.
• Business Term (optional, repetitive): A synonym term in another language under which the usage rule is commonly known and used in a business expression in that language.",Usage rule and value domain localized metadata,"[C35], [C71], [C122], [B47], [B87], [B150], [D37], [D70], [D109], [D123], [D148], [D188], [D202], [D227], [D261], [D308], [D322], [D347], [D395], [D409]",X021,,,No current plans for localized metadata in CEFACT publications.
Localized metadata shall be in the language identified by the language and locale code.,Localized metadata,"[C36], [C72], [C123], [B48], [B88], [B151], [D38], [D71], [D110], [D124], [D149], [D189], [D203], [D228], [D262], [D309], [D323], [D348], [D396], [D410]",X022,,,No current plans for localized metadata in CEFACT publications.
Each object shall have a unique identifier within the library of which it is a part.,"ACCs, ASCC Properties, BCC Properties, ABIEs, ASBIE Properties, BBIE Properties, CDTs, BDTs, Business Context","[C37], [C94], [C150], [B49], [B120], [B190], [D39], [D229], [X2]",S023,,E,
Each version of an object shall have a unique version identifier within the library of which it is a part.,"ACCs, ASCC Properties, BCC Properties, ABIEs, ASBIE Properties, BBIE Properties, CDTs, BDTs, Business Context","[C38], [C95], [C151], [B50], [B121], [B191], [D40], [D230], [X3]",S024,,E,
Each object shall have a common information class.,"ACCs, ASCCs, ASCC Properties, BCCs, BCC Properties, ABIEs, ASBIEs, ASBIE Properties, BBIEs, BBIE Properties, CDTs, CDT Content Components, CDT Supplementary Component, BDTs, BDT Content Component, BDT Supplementary Component","[C39], [C76], [C96], [C127], [C152], [B51], [B94], [B122], [B157], [B192], [D41], [D72], [D150], [D231], [D263], [D394]",S025,,E,
The object's common information class shall conform to all CC common information rules.,"ACCs, ASCCs, ASCC Properties, BCCs, BCC Properties","[C40], [C77], [C97], [C128], [C153]",X026,,,Redundant
